"Year","Page","Section","Score","Strength","Stage","SDGs","Tags","Quant","Oversight","Summary","Text"
2022,15,"5. Details on assessment of value chain partners:",4,"moderate","In progress","SDG 8, SDG 12","initiative","","","The company conducts regular field safety audits of all contractors at least every two weeks.","Contractor Field Safety Audit of all contractors are being conducted regularly at least every fortnight."
2022,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in ` ) – consolidated gross turnover: ` 143,829 crore, Standalone Gross Turnover: `",3,"moderate","Planned","SDG 13","policy, aspiration","","","The company is transitioning to a greener business and adopting the TCFD framework.","transitioning to a greener and more climate resilient business, we have adopted the Task Force on Climate-related Financial Disclosures (TCFD) framework and are working towards alignment with its recommendations."
2022,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in ` ) – consolidated gross turnover: ` 143,829 crore, Standalone Gross Turnover: `",3,"moderate","Planned","SDG 13","policy, aspiration","","","The company is a signatory to the TCFD and working to identify climate risks and opportunities for decarbonization.","The Company is a signatory to the TCFD for climate change and in the process to fully identify the transition risks and opportunities to decarbonise its operations over a period of time."
2022,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in ` ) – consolidated gross turnover: ` 143,829 crore, Standalone Gross Turnover: `",3,"moderate","Planned","SDG 13","governance","","✓","The company's board and senior management are actively involved in defining and steering climate actions.","In this regard, our Board members and senior management take an active role in defining and steering the Company’s climate actions."
2022,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in ` ) – consolidated gross turnover: ` 143,829 crore, Standalone Gross Turnover: `",3,"moderate","Planned","SDG 13","governance","","✓","All levels of the company's governance structure participate in assessing climate change risks and opportunities.","Every level of our governance structure participates in assessing the risks and opportunities that climate change poses to the Company."
2022,15,"5. Details on assessment of value chain partners:",3,"moderate","Mention only","SDG 16","policy, governance","","✓","The company has a whistleblower policy to address unethical behavior and violations.","We formulated the whistleblower policy / vigil mechanism in order to provide a mechanism for Directors and employees of JSW Steel to approach the Ethics Counsellor/ Chairman of the Audit Committee of the Board to report genuine concerns about unethical behaviour, actual or suspected fraud or violation of the Code of Conduct or Ethics Policy, or any other unethical or improper activity."
2022,19,"2. Details of the scope and coverage of any Human rights due-diligence conducted. We propose to carry out the assessment in the near future. 3.",3,"moderate","Mention only","SDG 7","kpi","✓","","The company reports its total electricity consumption for the current and previous financial years.","Total electricity consumption (A) 11703082 GJ 8275323.6 GJ"
2022,12,"5. Return to work and Retention rates of permanent employees and workers that took parental leave.",3,"moderate","Mention only","SDG 8","policy","✓","","11.05% of the workforce is represented through employee associations.","11.05% of workforce represented through employee association(s) under the provision of collective bargaining."
2022,12,"5. Return to work and Retention rates of permanent employees and workers that took parental leave.",3,"moderate","Mention only","SDG 4, SDG 8","kpi","✓","","Permanent employees received an average of 17.37 training hours.","Permanent Employees – 17.37"
2022,15,"5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 8, SDG 12","aspiration, policy","","","The company states its commitment to promoting responsible behavior and social and environmental wellbeing through a business conduct policy.","JSW Steel is committed to promoting responsible behavior and value for social and environmental wellbeing. To this end, it has a policy on business conduct that is applicable to all its employees and value chain partners."
2022,27,"6. Details of beneficiaries of CSR Projects:",2,"weak","Mention only","SDG 9","policy","","","The company has a formal policy on information security management.","The company has a formal policy on Information security Management and a manual of all the relevant policies is available in the company."
2022,15,"5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 5","policy","","","The company has a non-discriminatory policy framework that promotes equal opportunity for all.","It provides a rules-based policy framework that is non-discriminatory and provides equal opportunity for all individuals irrespective of their gender, religion, caste, race, age, community, physical ability or gender orientation."
2022,15,"5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 12","initiative","","","The company engages with suppliers to promote responsible business practices.","We engage regularly with our suppliers to ensure that our overall ecosystem functions with a sense of responsibility, integrity and overall compliance."
2022,15,"5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 8, SDG 12, SDG 16","policy","","","The company's Supplier Code of Conduct (SCoC) incorporates UN Global Compact principles.","This SCoC takes cognisance of the themes of human rights, labour, environment, and anti-corruption, as described in the United Nations Global Compact (UNGC)."
2022,15,"5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 5, SDG 8, SDG 10","policy, aspiration","","","The company states its commitment to promoting inclusivity, equality, and safeguarding human rights.","We are fully committed to promoting inclusivity and equality, prohibiting any discrimination and safeguarding the human rights of all our teams."
2022,15,"5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 1, SDG 16","policy, aspiration","","","The company affirms its belief in human rights and commitment to protecting them through a human rights policy.","We believe that every human being has the right to equality and non-discrimination. We respect human rights and are committed to ensuring that they are protected, guided by our human rights policy."
2022,15,"5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 5, SDG 8, SDG 10","policy","","","The company states it has a policy in place to protect human rights and promote inclusivity, diversity, and equality.","We have formulated a policy to demonstrate our commitment to protecting and enhancing the human rights of individuals and promoting inclusivity, diversity and equality."
2022,7,"11.",2,"weak","Mention only","SDG 13, SDG 15, SDG 6","governance","","✓","The company's board of directors discusses topics related to various sustainability principles, including climate change, biodiversity, and water.","The topics covered include the Committee Meetings which have discussions topics on all principles of BRSR including climate change, biodiversity, water, Sustainability Key Performance Indicators, Global trends on sustainability and best Practices in industry, external ratings and disclosures, Stakeholder engagement and Materiality, climate change Risks and Opportunities etc."
2022,19,"2. Details of the scope and coverage of any Human rights due-diligence conducted. We propose to carry out the assessment in the near future. 3.",2,"weak","Mention only","SDG 10","policy","","","The company states that its premise/office is accessible to differently abled visitors.","Is the premise/office of the entity accessible to differently abled visitors, as per the requirements of the Rights of Persons with Disabilities Act, 2016? Yes"
2022,12,"5. Return to work and Retention rates of permanent employees and workers that took parental leave.",2,"weak","Mention only","SDG 5","initiative","","","The company conducted various awareness trainings on gender equality and women's empowerment.","• Sessions with men as gender advocates
• Gender sensitisation session
• POSH
• JSW Springboard – IIM Bangalore Women Leadership Journey 
• JSW Women Network Forum – Vibe"
2022,15,"5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 17","policy","","","The company describes its stakeholder engagement process, considering the influence of each group on the company's ability to create value.","JSW Steel maintains a dynamic and strategic stakeholder engagement process where it identifies key stakeholder groups from the larger universe of all possible stakeholders. This is done after considering the material influence each group has on the Company’s ability to create value (and vice-versa)."
2022,15,"5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 17","policy","","","The company lists seven identified stakeholder groups, including employees, government, customers, communities, suppliers, institutions, and investors.","Through this mechanism, the Company has currently identified seven internal and external stakeholder groups: Employees, Government and Regulatory Authorities, Customers, Communities and Civil Society / NGOs, Suppliers, Institutions, Investors."
2022,20,"4.",1,"weak","Mention only","SDG 13","aspiration","","","The company's CO2 reduction target aligns with the global sustainable development scenario (SDS) pathway.","This target is aligned with the global sustainable development scenario (SDS) pathway."
2022,15,"5. Details on assessment of value chain partners:",1,"weak","Mention only","SDG 5","aspiration","","","The company promotes diversity and inclusion as a core value.","The Company believes in promoting diversity & inclusion as a culture which allows all employees to bring their authentic selves to work and contribute wholly with their skills, experience and perspective for creating unmatched value for all stakeholders."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",8,"strong","Measurable","SDG 6","initiative, measured_outcome","✓","","The company states its Zero Liquid Discharge (ZLD) status and its benefits.","We uphold our Zero Liquid Discharge (ZLD) status across all our steel manufacturing locations. Following the ZLD process, we have achieved cost savings, mitigated water acquisition risks and achieved overall better environmental performance and compliance."
2023,25,"4.",7,"strong","In progress","SDG 9, SDG 13","initiative, measured_outcome","✓","","The company operates a Carbon Capture and Utilization (CCU) facility with a capacity of 100TPD, capturing CO2 for use in the food & beverage industry.","We are operating a CCU of 100TPD capacity where CO2 is captured and refined for use in the food & beverage industry."
2023,32,"3. (a)",7,"strong","In progress","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 8, SDG 10","initiative, measured_outcome","✓","","The company reports on the number of beneficiaries of their CSR projects, with 75% coming from vulnerable and marginalized groups.","6. Details of beneficiaries of CSR Projects: S. No. CSR Project No. of persons benefited from CSR Projects % of beneficiaries from vulnerable and marginalised group 1. Health & Nutrition: Focusing mother & child health and well-being of the community 303256 75.00 2. Education and Learning: Improving standards & quality of delivery of education 102420 75.00 3. Agri-initiatives: Aiming for sustainable prosperity of farming communities 10500 75.00 4. Livelihood: Empowering women, fueling growth 25640 75.00 5. Waste Management 114944 75.00 6. Water conservation and augmentation: Conserving for better tomorrow 55175 75.00 7. Margdarshak: Facilitating Social Entitlements 178944 75.00"
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",6,"strong","In progress","SDG 13","policy, initiative, target","","","The company has set decarbonization targets, a climate change policy, and a dedicated group to drive climate action.","We have developed clear targets for decarbonisation, have a dedicated climate change policy, and instituted a Climate Action Group to drive the organisation’s climate action agenda."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",6,"strong","In progress","SDG 13","policy, target, kpi","","","The company states its commitment to mitigating air emissions through policies, targets, and monthly assessments.","We are committed to preventing, abating and mitigating our emissions to air and have dedicated policies addressing point and non-point source emissions. Annual targets are created, and assessment is done monthly."
2023,31,"2.",6,"strong","In progress","SDG 1, SDG 8, SDG 11","initiative, target","✓","","JSW Steel's Integrated Steel Plant (ISP) project in Paradip, Odisha, has affected 5000 families, with 93% covered by rehabilitation and resettlement efforts, costing 62 crores.","Integrated Steel Plant (ISP) project, Paradip Odisha Jagatsinghpur 5000 93 62 Cr"
2023,31,"2.",6,"strong","In progress","SDG 1, SDG 3, SDG 4, SDG 8, SDG 10, SDG 16","initiative, target","✓","","JSW Steel spent 55 million rupees on CSR projects in Ranchi, Jharkhand.","Jharkhand Ranchi 55,00,000"
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",5,"moderate","In progress","SDG 7, SDG 12","policy, initiative","","","The company implements energy-efficient systems to conserve resources and reduce energy consumption.","We have adopted state-of-the-art and energy-efficient systems and practices across our operations. This helps us continuously conserve resources and energy and, consequently, keep our input costs under control."
2023,25,"4.",5,"moderate","In progress","SDG 13","policy, initiative","","","The company has adopted Best Available Technologies (BAT) to improve the environmental impact of its operations.","We have adopted the Best Available Technologies (BAT) to improve the of our operations on climate."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",5,"moderate","In progress","SDG 12, SDG 13, SDG 15","policy, initiative","","","The company has established processes to optimize the use of natural resources.","We have institutionalised processes that maximise the utilisation of natural resources that we rely on."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",5,"moderate","In progress","SDG 8, SDG 12, SDG 17","policy, initiative","","","The company has implemented a Supplier Code of Conduct to ensure ethical and compliant business practices.","We have formulated a Supplier Code of Conduct that lays down norms of behaviour and practices for smoother and compliant conduct."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",5,"moderate","In progress","SDG 12, SDG 15","policy, initiative","","","The company complies with government regulations and has mine closure plans in place.","We adhere to the regulations as prescribed by the Government of India, along with our mine closure plans."
2023,29,"FY 2022-23",5,"moderate","In progress","SDG 15","initiative, policy","","","JSW Steel has implemented schemes to raise awareness about biodiversity within the organization.","In compliance with the IBBI declaration, we have mapped the biodiversity interfaces with business operations designated as biodiversity champion and have implemented schemes for enhancing awareness on biodiversity within the organisation."
2023,21,"PRINCIPLE 5: Businesses should respect and promote human rights Essential Indicators 1.",5,"moderate","In progress","SDG 8, SDG 10","policy, initiative","","","The company has implemented a grievance redressal process and a code of conduct to ensure a safe and inclusive work environment.","The Company has put in place a robust Grievance Redressal process for investigation of employee concerns and has instituted a Code of Conduct & Employee Service Rules that clearly delineates employee responsibilities and acceptable employee conduct."
2023,21,"PRINCIPLE 5: Businesses should respect and promote human rights Essential Indicators 1.",5,"moderate","In progress","SDG 8, SDG 10, SDG 12, SDG 16","policy, initiative","","","The Supplier Code of Conduct (SCoC) aligns with the UN Global Compact principles, covering human rights, labor, environment, and anti-corruption.","This SCoC takes cognisance of the themes of human rights, labour, environment, and anti-corruption, as described in the United Nations Global Compact (UNGC)."
2023,21,"PRINCIPLE 5: Businesses should respect and promote human rights Essential Indicators 1.",5,"moderate","In progress","SDG 8, SDG 10, SDG 12, SDG 16","policy, initiative","","","The Supplier Code of Conduct (SCoC) outlines key principles including human rights, labor, and environmental responsibility.","The key principles of SCoC are – 1. Compliance Management 2. Environment 3. Human Rights 4. Labour 5. Business Ethics"
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",4,"moderate","In progress","SDG 8, SDG 3","aspiration, policy","","","The company aspires to achieve zero harm across all operations and prioritizes employee and community safety.","We aspire to achieve zero harm across all our operations. Health and Safety represent an important part of our group’s values. We are committed to providing a healthy and safe working environment for our employees, contractors, business associates, visitors on-premises, and above all, communities impacted by our operations."
2023,25,"4.",4,"moderate","Planned","SDG 13","target","✓","","The company has set a target to reduce CO2 emissions by 42% by 2030.","We have set ourselves an ambitious CO2 emission reduction target of 42% reduction over a base year of 2005 till 2030."
2023,8,"Section B: Management and Process Disclosures",4,"moderate","In progress","SDG 13","initiative","","","The company conducts monthly training sessions on climate change as part of a decarbonization initiative.","Under the ongoing decarbonisation initiative at one of our plants, we have conducted monthly training sessions for educating our site team regarding climate change."
2023,12,"5. Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption:",4,"moderate","In progress","SDG 12","initiative","","","The company implements practices for recycling and reusing waste and conserving natural resources.","Recycling and reuse of process waste and conservation of natural resources."
2023,12,"5. Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption:",4,"moderate","In progress","SDG 13","initiative","","","The company implements interventions aimed at environmental sustainability.","Implementation of environment sustainability interventions"
2023,19,"4. Does the entity provide transition assistance programs to facilitate continued employability and the management of career endings resulting from retirement or termination of employment? (Yes/ No) Yes 5. Details on assessment of value chain partners:",4,"moderate","In progress","SDG 3, SDG 4, SDG 8, SDG 9, SDG 11","initiative","","","The company states that its efforts have led to improvements in education, health, employment, infrastructure, and sanitation for local communities.","Over the years, JSW Steel’s continuous efforts have resulted in better education, better health, better employment, better infrastructure and better sanitation for the local communities."
2023,8,"Section B: Management and Process Disclosures",4,"moderate","In progress","SDG 8, SDG 12, SDG 13","initiative","","","The company reports its performance against sustainability targets annually in its Integrated Report.","The performance against the set targets are reported by the Company annually in the Integrated Report every year."
2023,25,"4.",4,"moderate","Planned","SDG 13","target","✓","","The company aims to reduce CO2 emissions below 1.95 tCO2/tcs by 2030, aligning with the global sustainable development scenario (SDS) pathway.","This will bring down the CO2 levels below 1.95 tCO2/tcs. This target is aligned with the global sustainable development scenario (SDS) pathway."
2023,25,"4.",4,"moderate","In progress","SDG 9, SDG 13","initiative","","","The company is collaborating with other companies to explore and evaluate Carbon Capture Utilisation and Storage (CCUS) options.","We are also collaborating with various technology and engineering companies to explore and evaluate various Carbon Capture Utilisation and Storage (CCUS) options and their applications."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",4,"moderate","Planned","SDG 8, SDG 10","policy, initiative","","","The company uses a strategy to identify, prevent, and address human rights issues.","We maintain an identification prevention-feedback–monitoring strategy to tackle these stakeholder- critical issues."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",4,"moderate","Planned","SDG 1, SDG 2, SDG 8, SDG 10","initiative, target","","","The company plans CSR projects to enhance community livelihoods.","CSR projects are planned in order to improve the livelihood of communities."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",4,"moderate","In progress","SDG 12","initiative","","","The company describes its integrated waste management strategy.","Hazardous and non-hazardous waste is formed in the steelmaking process are managed using an integrated strategy for efficient waste management, which takes into account environmental impact, social effects and commercial viability. We follow a widely accepted ‘waste management hierarchy, which follows a 'prevent reuse- recycle-dispose' value chain."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",4,"moderate","Planned","SDG 15","aspiration, initiative, target","","","The company acknowledges the importance of biodiversity and commits to achieving 'No Net Loss' by 2030 through the IBBI initiative.","We understand that preserving and restoring biodiversity is critical for maintaining a balanced ecosystem. We have signed up to commit to the IBBI initiative and continue our biennial disclosure under the 10 points prescribed by IBBI. We strive to achieve ‘No Net Loss’ of biodiversity at all our operating sites by 2030."
2023,29,"FY 2022-23",4,"moderate","In progress","SDG 15","initiative","","","JSW Steel conducts biodiversity impact assessments in collaboration with IUCN.","Together with the International Union for Conservation of Nature (IUCN), we continue to undertake site-specific assessment of biodiversity impact."
2023,29,"FY 2022-23",4,"moderate","In progress","SDG 15","initiative","","","JSW Steel is a signatory to the Indian Business and Biodiversity Initiative (IBBI).","We were among the firsts to sign up and commit to the Indian Business and Biodiversity Initiative (IBBI), an initiative by the Confederation of Indian Industry (CII) in partnership with India’s Ministry of Environment, Forest & Climate Change."
2023,32,"3. (a)",4,"moderate","Planned","SDG 8, SDG 12, SDG 16","policy, initiative","","","The company has a Supplier Code of Conduct that aligns with the UN Global Compact principles.","To achieve this, we have formulated a Supplier Code of Conduct (SCoC) that lays down norms of behaviour and practices for smoother and compliant conduct. This SCoC takes cognisance of the themes of human rights, labour, environment, and anti-corruption, as described in the United Nations Global Compact (UNGC)."
2023,32,"3. (a)",4,"moderate","Planned","SDG 8","policy, initiative","","","The company's Supplier Code of Conduct references International Labour Organization (ILO) standards for labor practices.","Principles and norms described under the theme of ‘labour’ are based on the standards specified by International Labour Organisation (ILO) from time-to-time."
2023,19,"4. Does the entity provide transition assistance programs to facilitate continued employability and the management of career endings resulting from retirement or termination of employment? (Yes/ No) Yes 5. Details on assessment of value chain partners:",4,"moderate","In progress","SDG 3, SDG 4, SDG 10","initiative","","","The company states its work focuses on education, health, nutrition, sanitation, and well-being of marginalized communities.","JSW has been working for education, health & nutrition, sanitation and wellbeing of marginalised sections of the society."
2023,21,"PRINCIPLE 5: Businesses should respect and promote human rights Essential Indicators 1.",4,"moderate","In progress","SDG 8, SDG 10, SDG 12","policy","","","The company incorporates expectations for sustainability, fair competition, and human rights respect into its business agreements.","The business agreements and contracts do include Company’s expectations to promote sustainability, fair competition and respect for human rights."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",3,"moderate","Planned","SDG 15","aspiration, target","","","The company aims to achieve no net loss of biodiversity at its operating sites by 2030.","We strive to achieve ‘No Net Loss’ of biodiversity at all our operating sites by 2030."
2023,12,"5. Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption:",3,"moderate","Planned","SDG 12","policy","","","The company aims to optimize resource utilization in its processes.","Optimisation of resource utilisation."
2023,8,"Section B: Management and Process Disclosures",3,"moderate","Planned","SDG 7, SDG 11, SDG 12, SDG 13, SDG 15, SDG 16","target","","","The company states it has set aggressive targets for sustainability KPIs related to various environmental and social issues.","JSW Steel has set aggressive targets for Sustainability KPIs related to climate change, energy, water, waste, air emissions, biodiversity, safety, diversity etc."
2023,24,"4. Details on assessment of value chain partners:",3,"moderate","Mention only","SDG 8, SDG 5","policy","✓","","The company states that 100% of their value chain partners were assessed for various labor practices.","100 Forced/involuntary labour 100 Sexual harassment 100 Discrimination at workplace 100 Wages 100"
2023,24,"4. Details on assessment of value chain partners:",3,"moderate","Mention only","SDG 7, SDG 13","kpi","✓","","The company reports their total energy consumption for electricity, fuel, and other sources for the current and previous financial years.","Total electricity consumption (A) 12650641 GJ 11703082 GJ Total fuel consumption (B) 481733789 GJ 435079392 GJ Energy consumption through other sources (C) 0 0 Total energy consumption (A+B+C) 494384430 GJ 446782474 GJ"
2023,24,"4. Details on assessment of value chain partners:",3,"moderate","Mention only","SDG 6","kpi","✓","","The company reports their total surface water withdrawal for the current and previous financial years.","86252705 kL 82123309 kL"
2023,24,"4. Details on assessment of value chain partners:",3,"moderate","Mention only","SDG 6","kpi","✓","","The company reports their total water consumption for the current and previous financial years.","51054289 kL 43232079 kL"
2023,31,"2.",3,"moderate","Mention only","SDG 9, SDG 16, SDG 12, SDG 11, SDG 8","policy, initiative","","","JSW Steel participates in working groups addressing governance, economic reforms, sustainability, energy, social development, and transparency.","The Company is a member of various working groups to support the government in the following areas - Governance and administration, Economic Reforms, Sustainable business principles, Energy, water and other natural resources, Social and community development, Transparency in public disclosure"
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",2,"weak","Mention only","SDG 13","policy","","","The company recognizes the importance of India's INDCs in achieving climate change targets.","With India’s intended nationally determined contributions (INDCs), it has become crucial to proactively work on achieving the set targets in the climate change arena."
2023,8,"Section B: Management and Process Disclosures",2,"weak","Mention only","SDG 13, SDG 15, SDG 6","governance","","✓","The Board of Directors discusses topics related to climate change, biodiversity, water, and sustainability.","Topics covered include the Committee Meetings which have discussions topics on all principles of BRSR including climate change, biodiversity, water, Sustainability Key Performance Indicators, Global trends on sustainability and best Practices in industry, external ratings and disclosures, Stakeholder engagement and Materiality, climate change Risks and Opportunities etc."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",2,"weak","Mention only","SDG 3, SDG 8","aspiration, policy","","","The company states its commitment to providing a safe and healthy working environment for all stakeholders.","We are committed to providing a healthy and safe working environment for our employees, contractors, business associates, visitors on-premises, and above all, communities impacted by our operations."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",2,"weak","Mention only","SDG 5, SDG 8, SDG 16","aspiration, policy","","","The company advocates against discrimination and promotes the SA8000 policy for ethical labor practices.","We strongly advocate against all kinds of discrimination and stand with our team in the event of any violation. We strive to involve all employees in upholding and sustaining the SA8000 policy in our operations."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",2,"weak","Mention only","SDG 5, SDG 8, SDG 10","policy","","","The company states its commitment to non-discriminatory hiring practices based on merit.","We are committed to employing people solely on the basis of their ability to do the job, prohibiting any discrimination based on race, colour, age, gender, sexual orientation, gender identity and expression, ethnicity, religion, disability, family status, social origin, and so on."
2023,12,"5. Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption:",2,"weak","Mention only","SDG 12","policy","","","The company confirms that Extended Producer Responsibility (EPR) applies to its activities.","Whether Extended Producer Responsibility (EPR) is applicable to the entity’s activities (Yes/ No). Yes"
2023,12,"5. Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption:",2,"weak","Mention only","SDG 12","policy","","","The company confirms that its waste collection plan aligns with the EPR plan submitted to Pollution Control Boards.","If yes, whether the waste collection plan is in line with the Extended Producer Responsibility (EPR) plan submitted to Pollution Control Boards? If not, provide steps taken to address the same. Yes"
2023,8,"Section B: Management and Process Disclosures",2,"weak","Mention only","SDG 8, SDG 12, SDG 13","policy","","","The company states its policies are based on NGRBC and various international standards, including the UN Sustainable Development Goals.","The policies are based on NGRBC, taking account of the requirements of various international standards like ISO 9000, ISO 14000, ISO45001, ISO 50001, ISO26000, SA8000, IFC Performance Standards, OECD Guidelines, UNGC guidelines and ILO Principles, ILO Convention on Human Rights, Report on Affirmative Action by CII, National Action Plan on Climate Change, National Environmental Policy, UN Sustainable Development Goals, Global Reporting Initiative, Carbon Disclosure Project (CDP),Dow Jones Sustainability Index (DJSI) and Task Force on Climate-related Financial Disclosures (TCFD)."
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",2,"weak","Mention only","SDG 12","policy","","","The company states adherence to government regulations and mine closure plans.","We adhere to the regulations as prescribed by the Government of India, along with our mine closure plans."
2023,29,"FY 2022-23",2,"weak","Mention only","SDG 15","aspiration, policy","","","JSW Steel prioritizes biodiversity and aligns with national biodiversity targets.","JSW Steel recognises biodiversity as a core focus area. Thus, we are aligned to the National Biodiversity Targets, and take a risk-based approach for making biodiversity a key decision making consideration."
2023,29,"FY 2022-23",2,"weak","Mention only","SDG 15","policy","","","JSW Steel avoids operating in sensitive ecological areas.","We are also committed to not operating in World Heritage areas and IUCN Category I-IV protected areas."
2023,8,"Section B: Management and Process Disclosures",2,"weak","Mention only","SDG 17","policy","","","The company has a policy titled 'Policy to Make Our world a Better Place'.","Policy to Make Our world a Better Place"
2023,8,"Section B: Management and Process Disclosures",2,"weak","Mention only","SDG 13","policy","","","The company has a policy specifically addressing climate change.","Climate change policy"
2023,8,"Section B: Management and Process Disclosures",2,"weak","Mention only","SDG 7","policy","","","The company has an 'Energy Policy' in place.","Energy Policy"
2023,8,"Section B: Management and Process Disclosures",2,"weak","Mention only","SDG 6","policy","","","The company has a 'Water Resource Management Policy'.","Water Resource Management Policy"
2023,8,"Section B: Management and Process Disclosures",2,"weak","Mention only","SDG 12","policy","","","The company has a 'Waste Management Policy'.","Waste Management Policy"
2023,19,"4. Does the entity provide transition assistance programs to facilitate continued employability and the management of career endings resulting from retirement or termination of employment? (Yes/ No) Yes 5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 17","policy","","","The company describes its stakeholder engagement process, which considers the influence of various groups on the company's ability to create value.","JSW Steel maintains a dynamic and strategic stakeholder engagement process where it identifies key stakeholder groups from the larger universe of all possible stakeholders. This is done after considering the material influence each group has on the Company’s ability to create value (and vice-versa)."
2023,19,"4. Does the entity provide transition assistance programs to facilitate continued employability and the management of career endings resulting from retirement or termination of employment? (Yes/ No) Yes 5. Details on assessment of value chain partners:",2,"weak","Mention only","SDG 17","policy","","","The company lists seven identified stakeholder groups, including employees, government, customers, communities, suppliers, institutions, and investors.","Through this mechanism, the Company has currently identified seven internal and external stakeholder groups: Employees, Government and Regulatory Authorities, Customers, Communities and Civil Society / NGOs, Suppliers, Institutions, Investors."
2023,21,"PRINCIPLE 5: Businesses should respect and promote human rights Essential Indicators 1.",2,"weak","Mention only","SDG 16","policy","","","The company states its commitment to fulfilling human rights by adhering to national, local, and international norms.","We contribute to the fulfilment of human rights by complying with all national and local legislations, and international norms as applicable."
2023,21,"PRINCIPLE 5: Businesses should respect and promote human rights Essential Indicators 1.",2,"weak","Mention only","SDG 16, SDG 5","policy","","","The company has a policy in place to protect and enhance human rights, promoting inclusivity and diversity.","We have formulated a policy to demonstrate our commitment to protecting and enhancing the human rights of individuals and promoting inclusivity, diversity and equality."
2023,31,"2.",2,"weak","Mention only","SDG 9","policy","","","JSW Steel collaborates with industry associations to influence policies related to the Indian steel sector.","JSW Steel works closely with industry/trade associations in evolving policies that govern the functioning and regulations of the Indian Steel sector."
2023,25,"4.",1,"weak","Mention only","SDG 13","aspiration","","","The company's CO2 reduction target aligns with the global sustainable development scenario (SDS) pathway.","This target is aligned with the global sustainable development scenario (SDS) pathway."
